filename,nav_angle_pass1_deg,nav_angle_final_deg,n_nav_points,n_detection_lines,weed_pressure,if_removed_components,if_removed_veg_frac,time_ms
bev,3.735,3.735,10,2,0.1060,0,0.0000,449.4
bev2,2.469,2.469,10,2,0.2682,0,0.0000,13.7
bev4,4.588,4.588,10,2,0.0466,0,0.0000,9.0
bev5,6.684,6.684,10,2,0.2222,0,0.0000,5.9
bev6,7.537,4.330,10,2,0.6667,75,0.2968,31.1
bev7,0.437,0.437,10,2,0.0535,0,0.0000,9.1
photo_10_2026-08-18_17-17-57,12.659,12.659,10,2,0.3189,0,0.0000,23.8
photo_11_2026-08-18_17-17-57,2.503,2.503,10,2,1.0000,24,0.1877,39.7
photo_12_2026-08-18_17-17-57,15.467,15.467,10,2,0.1818,0,0.0000,13.4
photo_13_2026-08-18_17-17-57,9.944,9.944,10,2,0.4012,12,0.1597,36.2
photo_14_2026-08-18_17-17-57,7.314,7.314,10,2,0.3333,0,0.0000,24.6
photo_15_2026-08-18_17-17-57,3.981,3.981,10,2,0.2340,0,0.0000,43.1
photo_16_2026-08-18_17-17-57,14.425,14.425,10,2,0.2050,0,0.0000,34.8
photo_17_2026-08-18_17-17-57,4.492,4.492,10,2,1.0000,44,0.2704,86.8
photo_1_2026-08-18_17-17-57,13.736,13.736,10,2,0.5556,16,0.0125,57.8
photo_2_2026-08-18_17-17-57,28.027,28.027,10,2,0.7778,0,0.0000,17.0
photo_3_2026-08-18_17-17-57,17.784,17.784,10,2,0.4444,7,0.0015,33.1
photo_4_2026-08-18_17-17-57,11.316,11.316,10,2,0.2222,0,0.0000,14.7
photo_5_2026-08-18_17-17-57,9.124,9.124,10,2,0.3333,0,0.0000,13.1
photo_6_2026-08-18_17-17-57,5.443,5.443,10,2,0.2131,0,0.0000,17.0
photo_7_2026-08-18_17-17-57,9.305,9.305,10,2,0.1890,0,0.0000,11.6
photo_8_2026-08-18_17-17-57,7.747,7.747,10,2,0.2478,0,0.0000,15.4
photo_9_2026-08-18_17-17-57,9.019,9.019,10,2,0.2668,0,0.0000,41.9
